question,answer
What is supervised machine learning?,"Supervised learning is a type of machine learning in which our algorithms are trained using well-labeled training data, and machines predict the output based on that data. Labeled data indicates that the input data has already been tagged with the appropriate output. Basically, it is the task of learning a function that maps the input set and returns an output. Some of its examples are: Linear Regression, Logistic Regression, KNN, etc."
What is regression? Which models can you use to solve a regression problem?,"Regression is a part of supervised ML. Regression models investigate the relationship between a dependent (target) and independent variable (s) (predictor).
Here are some common regression models
1) Linear Regression - It establishes a linear relationship between target and predictor (s). It predicts a numeric value and has a shape of a straight line.
2) Polynomial Regression - It has a regression equation with the power of independent variable more than 1. It is a curve that fits into the data points.
3) Ridge Regression -It helps when predictors are highly correlated (multicollinearity problem). It penalizes the squares of regression coefficients but doesnt allow the coefficients to reach zeros (uses L2 regularization).
4) Lasso Regression - It penalizes the absolute values of regression coefficients and allows some of the coefficients to reach absolute zero (thereby allowing feature selection)."
 What is linear regression? When do we use it? ,"Linear regression is a statistical method used to model the relationship between a dependent variable and one or more independent variables. The goal is to find the linear equation that best predicts the dependent variable based on the values of the independent variables.

We use linear regression when we want to:

Predict the value of a dependent variable based on the values of independent variables.
Understand the strength and nature of the relationship between the dependent and independent variables.
Identify trends and make forecasts."
What are the main assumptions of linear regression?,"There are several assumptions of linear regression. If any of them is violated, model predictions and interpretation may be worthless or misleading.

1. Linear relationship between features and target variable.
2. Additivity means that the effect of changes in one of the features on the target variable does not depend on values of other features. For example, a model for predicting revenue of a company have of two features - the number of items 'a' sold and the number of items 'b' sold. When company sells more items 'a' the revenue increases and this is independent of the number of items 'b' sold. But, if customers who buy 'a' stop buying 'b', the additivity assumption is violated.
3. Features are not correlated (no collinearity) since it can be difficult to separate out the individual effects of collinear features on the target variable.
4. Errors are independently and identically normally distributed (y = B0 + B1*x1 + ... + error):
   1. No correlation between errors (consecutive errors in the case of time series data).
   2. Constant variance of errors - homoscedasticity. For example, in case of time series, seasonal patterns can increase errors in seasons with higher activity.
   3. Errors are normally distributed, otherwise some features will have more influence on the target variable than to others. If the error distribution is significantly non-normal, confidence intervals may be too wide or too narrow."
Whats the normal distribution? Why do we care about it?,"The normal distribution derives its importance from the Central Limit Theorem, which states that if we draw a large enough number of samples, their mean will follow a normal distribution regardless of the initial distribution of the sample, i.e the distribution of the mean of the samples is normal. It is important that each sample is independent from the other.

This is powerful because it helps us study processes whose population distribution is unknown to us."
How do we check if a variable follows the normal distribution? ,"1. Plot a histogram out of the sampled data. If you can fit the bell-shaped ""normal"" curve to the histogram, then the hypothesis that the underlying random variable follows the normal distribution can not be rejected.
2. Check Skewness and Kurtosis of the sampled data. Skewness = 0 and kurtosis = 3 are typical for a normal distribution, so the farther away they are from these values, the more non-normal the distribution.
3. Use Kolmogorov-Smirnov or/and Shapiro-Wilk tests for normality. They take into account both Skewness and Kurtosis simultaneously.
4. Check for Quantile-Quantile plot. It is a scatterplot created by plotting two sets of quantiles against one another. Normal Q-Q plot place the data points in a roughly straight line."
What if we want to build a model for predicting prices? Are prices distributed normally? Do we need to do any pre-processing for prices? ,"Data is not normal. Specially, real-world datasets or uncleaned datasets always have certain skewness. Same goes for the price prediction. Price of houses or any other thing under consideration depends on a number of factors. So, there's a great chance of presence of some skewed values i.e outliers if we talk in data science terms. 

Yes, you may need to do pre-processing. Most probably, you will need to remove the outliers to make your distribution near-to-normal."
What methods for solving linear regression do you know?,"Methods for solving linear regression include:

1) Ordinary Least Squares (OLS): Minimizes the sum of the squared differences between observed and predicted values.
2) Gradient Descent: Iteratively adjusts coefficients to minimize the cost function.
3) Regularization Methods: Includes Ridge Regression (L2 regularization) and Lasso Regression (L1 regularization) to prevent overfitting.
4) Maximum Likelihood Estimation (MLE): Estimates parameters by maximizing the likelihood function.
5) Normal Equation: Directly computes coefficients using a closed-form solution.
These methods vary in computational efficiency, robustness, and suitability depending on the data and specific requirements."
What is gradient descent? How does it work?,"Gradient descent is an algorithm that uses calculus concept of gradient to try and reach local or global minima. It works by taking the negative of the gradient in a point of a given function, and updating that point repeatedly using the calculated negative gradient, until the algorithm reaches a local or global minimum, which will cause future iterations of the algorithm to return values that are equal or too close to the current point. It is widely used in machine learning applications."
What is the normal equation?,Normal equations are equations obtained by setting equal to zero the partial derivatives of the sum of squared errors (least squares); normal equations allow one to estimate the parameters of a multiple linear regression.
What is SGD stochastic gradient descent? What's the difference with the usual gradient descent?,"In both gradient descent (GD) and stochastic gradient descent (SGD), you update a set of parameters in an iterative manner to minimize an error function.

The difference lies in how the gradient of the loss function is estimated. In the usual GD, you have to run through ALL the samples in your training set in order to estimate the gradient and do a single update for a parameter in a particular iteration. In SGD, on the other hand, you use ONLY ONE or SUBSET of training sample from your training set to estimate the gradient and do the update for a parameter in a particular iteration. If you use SUBSET, it is called Minibatch Stochastic gradient Descent."
Which metrics for evaluating regression models do you know?,"For evaluating regression models, common metrics include:

Mean Absolute Error (MAE): Measures the average magnitude of errors in predictions, without considering their direction.

Mean Squared Error (MSE): Measures the average squared difference between actual and predicted values, giving more weight to larger errors.

Root Mean Squared Error (RMSE): The square root of MSE, providing error in the same units as the target variable, making it easier to interpret.

R-squared (R²): Indicates the proportion of variance in the dependent variable that is predictable from the independent variables, representing the model's goodness-of-fit.

Adjusted R-squared: Adjusts R² for the number of predictors in the model, providing a more accurate measure when comparing models with different numbers of predictors."
